id_ato,id_dodf,tipo_rel,id_rel,anotador_rel,timestamp_rel,tipo_ent,id_ent,anotador_ent,timestamp_ent,offset,length,texto
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,numero_termo_aditivo,275,matheus_santos,2022-03-04T15:34:41Z,372969,20,QUARTO TERMO ADITIVO
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,numero_contrato,276,matheus_santos,2022-03-04T15:34:41Z,373005,8,002/2018
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,orgao_contratante,277,matheus_santos,2022-03-04T15:34:41Z,373098,8,DF/RA II
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,objeto_aditamento_contratual,278,matheus_santos,2022-03-04T15:34:41Z,373238,481,"O presente Termo Aditivo objetiva a alteracao contratual com vistas a SUPLEMENTACAO de
recursos no valor de R$ 27.900,00 (vinte e sete mil e novecentos reais), ao Contrato no 002/2018,
celebrado em 30/01/2018, Extrato do Contrato publicado no DODF n 34 de 20 de fevereiro de 2018,
pagina 39, nos termos do inciso I, alinea ""b"", art. 65 da Lei no 8.666/93, passando o Contrato a ter o valor
total de R$ 251.015,81 (duzentos e cinquenta e um mil quinze reais e oitenta e um centavos)"
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,processo_gdf,434,matheus_santos,2022-04-02T22:45:46Z,373072,16,0131-000016/2018
22_20.12.2019.1-R5,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R5,matheus_santos,2022-04-02T22:45:52Z,EXTRATO_ADITAMENTO_CONTRATUAL,435,matheus_santos,2022-04-02T22:45:46Z,372958,1729,"EXTRATO DO QUARTO TERMO ADITIVO AO CONTRATO No 002/2018,
NOS TERMOS DO PADRAO No 13/2002 - SUPLEMENTACAO
Processo:0131-000016/2018. Partes: DF/RA II, CNPJ no 33.524.869/0001-94 e a COMPANHIA DE
SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB, CNPJ no 00.082.024/0001-37.
Objeto: O presente Termo Aditivo objetiva a alteracao contratual com vistas a SUPLEMENTACAO de
recursos no valor de R$ 27.900,00 (vinte e sete mil e novecentos reais), ao Contrato no 002/2018,
celebrado em 30/01/2018, Extrato do Contrato publicado no DODF n 34 de 20 de fevereiro de 2018,
pagina 39, nos termos do inciso I, alinea ""b"", art. 65 da Lei no 8.666/93, passando o Contrato a ter o valor
total de R$ 251.015,81 (duzentos e cinquenta e um mil quinze reais e oitenta e um centavos). Da Dotacao
Orcamentaria: a despesa decorrente da presente alteracao correra a conta da seguinte Dotacao
Orcamentaria: I - Unidade Orcamentaria: 09104 - Administracao Regional do Gama, II - Programa de
Trabalho: 04.122.6001.8517.0075 (Manutencao de Servicos Administrativos Gerais - Administracao
Regional do Gama), III - Elemento de Despesa: 339039 - Servicos de Terceiros - PJ, IV - Fonte de
Recursos: 100/120, V - Notas de Empenhos: 2019NE00273 (32124623) e 2019NE00274 (32124714). Da
Ratificacao: Permanecem inalteradas as demais clausulas do contrato a que se refere o presente Termo
Aditivo. Da vigencia: O presente Termo Aditivo entra em vigencia a partir da data de sua assinatura.
Signatarios: Pelo DF/RA-II, Jose Elias Silva de Jesus, na qualidade de Administrador Regional do Gama
e pela contratada: Pedro Cardoso de Santana Filho, na qualidade de Diretor Financeiro e Comercial e
Diego Rezende Ferreira, na qualidade de Superintendente de Comercializacao."
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,numero_termo_aditivo,275,matheus_santos,2022-03-04T15:34:41Z,372969,20,QUARTO TERMO ADITIVO
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,numero_contrato,276,matheus_santos,2022-03-04T15:34:41Z,373005,8,002/2018
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,orgao_contratante,277,matheus_santos,2022-03-04T15:34:41Z,373098,8,DF/RA II
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,objeto_aditamento_contratual,278,matheus_santos,2022-03-04T15:34:41Z,373238,481,"O presente Termo Aditivo objetiva a alteracao contratual com vistas a SUPLEMENTACAO de
recursos no valor de R$ 27.900,00 (vinte e sete mil e novecentos reais), ao Contrato no 002/2018,
celebrado em 30/01/2018, Extrato do Contrato publicado no DODF n 34 de 20 de fevereiro de 2018,
pagina 39, nos termos do inciso I, alinea ""b"", art. 65 da Lei no 8.666/93, passando o Contrato a ter o valor
total de R$ 251.015,81 (duzentos e cinquenta e um mil quinze reais e oitenta e um centavos)"
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,processo_gdf,434,matheus_santos,2022-04-02T22:45:46Z,373072,16,0131-000016/2018
22_20.12.2019.1-R6,22_20.12.2019.1,REL_ADITAMENTO_CONTRATO,R6,matheus_santos,2022-04-02T22:45:59Z,EXTRATO_ADITAMENTO_CONTRATUAL,435,matheus_santos,2022-04-02T22:45:46Z,372958,1729,"EXTRATO DO QUARTO TERMO ADITIVO AO CONTRATO No 002/2018,
NOS TERMOS DO PADRAO No 13/2002 - SUPLEMENTACAO
Processo:0131-000016/2018. Partes: DF/RA II, CNPJ no 33.524.869/0001-94 e a COMPANHIA DE
SANEAMENTO AMBIENTAL DO DISTRITO FEDERAL - CAESB, CNPJ no 00.082.024/0001-37.
Objeto: O presente Termo Aditivo objetiva a alteracao contratual com vistas a SUPLEMENTACAO de
recursos no valor de R$ 27.900,00 (vinte e sete mil e novecentos reais), ao Contrato no 002/2018,
celebrado em 30/01/2018, Extrato do Contrato publicado no DODF n 34 de 20 de fevereiro de 2018,
pagina 39, nos termos do inciso I, alinea ""b"", art. 65 da Lei no 8.666/93, passando o Contrato a ter o valor
total de R$ 251.015,81 (duzentos e cinquenta e um mil quinze reais e oitenta e um centavos). Da Dotacao
Orcamentaria: a despesa decorrente da presente alteracao correra a conta da seguinte Dotacao
Orcamentaria: I - Unidade Orcamentaria: 09104 - Administracao Regional do Gama, II - Programa de
Trabalho: 04.122.6001.8517.0075 (Manutencao de Servicos Administrativos Gerais - Administracao
Regional do Gama), III - Elemento de Despesa: 339039 - Servicos de Terceiros - PJ, IV - Fonte de
Recursos: 100/120, V - Notas de Empenhos: 2019NE00273 (32124623) e 2019NE00274 (32124714). Da
Ratificacao: Permanecem inalteradas as demais clausulas do contrato a que se refere o presente Termo
Aditivo. Da vigencia: O presente Termo Aditivo entra em vigencia a partir da data de sua assinatura.
Signatarios: Pelo DF/RA-II, Jose Elias Silva de Jesus, na qualidade de Administrador Regional do Gama
e pela contratada: Pedro Cardoso de Santana Filho, na qualidade de Diretor Financeiro e Comercial e
Diego Rezende Ferreira, na qualidade de Superintendente de Comercializacao."
22_20.12.2019.1-R20,22_20.12.2019.1,REL_AVISO_LICITACAO,R20,carla_araujo,2022-04-04T01:17:11Z,modalidade_licitacao,4,carla_araujo,2022-02-22T20:46:12Z,376020,17,PREGAO ELETRONICO
22_20.12.2019.1-R20,22_20.12.2019.1,REL_AVISO_LICITACAO,R20,carla_araujo,2022-04-04T01:17:11Z,numero_licitacao,5,carla_araujo,2022-02-22T20:46:12Z,376041,8,001/2020
22_20.12.2019.1-R20,22_20.12.2019.1,REL_AVISO_LICITACAO,R20,carla_araujo,2022-04-04T01:17:11Z,processo_gdf,6,carla_araujo,2022-02-22T20:46:12Z,376057,6,974002
22_20.12.2019.1-R20,22_20.12.2019.1,REL_AVISO_LICITACAO,R20,carla_araujo,2022-04-04T01:17:11Z,orgao_licitante,418,carla_araujo,2022-03-23T15:07:28Z,376094,36,Instituto Brasilia Ambiental (IBRAM)
22_20.12.2019.1-R20,22_20.12.2019.1,REL_AVISO_LICITACAO,R20,carla_araujo,2022-04-04T01:17:11Z,sistema_compras,419,carla_araujo,2022-03-23T15:07:28Z,376327,10,Comprasnet
